순번,기준년,기준월,상권코드,상권명,성별코드,성별,시간대코드,시간대,행정동코드,행정동명,유동인구수,시간당 평균 유동인구수,데이터생성일자
1,2021,01월,1,가수원상점가 주변 상권,f,여성,1,출근,3017059000,가수원동,18307.58,9153.79,2022-11-15
2,2021,01월,1,가수원상점가 주변 상권,m,남성,1,출근,3017059000,가수원동,21701.58,10850.79,2022-11-15
3,2021,01월,1,가수원상점가 주변 상권,f,여성,2,주간,3017059000,가수원동,166474.56,18497.18,2022-11-15
4,2021,01월,1,가수원상점가 주변 상권,m,남성,2,주간,3017059000,가수원동,169372.77,18819.19,2022-11-15
5,2021,01월,1,가수원상점가 주변 상권,f,여성,3,퇴근,3017059000,가수원동,43185.1,21592.55,2022-11-15
6,2021,01월,1,가수원상점가 주변 상권,m,남성,3,퇴근,3017059000,가수원동,44620.72,22310.36,2022-11-15
7,2021,01월,1,가수원상점가 주변 상권,f,여성,4,저녁,3017059000,가수원동,82474.28,20618.58,2022-11-15
8,2021,01월,1,가수원상점가 주변 상권,m,남성,4,저녁,3017059000,가수원동,81756.11,20439.03,2022-11-15
9,2021,01월,1,가수원상점가 주변 상권,f,여성,5,야간,3017059000,가수원동,35441.47,5063.07,2022-11-15
10,2021,01월,1,가수원상점가 주변 상권,m,남성,5,야간,3017059000,가수원동,41340.24,5905.75,2022-11-15
11,2021,01월,2,한민시장 주변 상권,f,여성,1,출근,3017056000,괴정동,21514.4,10757.2,2022-11-15
12,2021,01월,2,한민시장 주변 상권,m,남성,1,출근,3017056000,괴정동,23778.86,11889.43,2022-11-15
13,2021,01월,2,한민시장 주변 상권,f,여성,2,주간,3017056000,괴정동,190535.41,21170.6,2022-11-15
14,2021,01월,2,한민시장 주변 상권,m,남성,2,주간,3017056000,괴정동,183473.88,20385.99,2022-11-15
15,2021,01월,2,한민시장 주변 상권,f,여성,3,퇴근,3017056000,괴정동,55593.82,27796.91,2022-11-15
16,2021,01월,2,한민시장 주변 상권,m,남성,3,퇴근,3017056000,괴정동,59385.45,29692.73,2022-11-15
17,2021,01월,2,한민시장 주변 상권,f,여성,4,저녁,3017056000,괴정동,99303.76,24825.95,2022-11-15
18,2021,01월,2,한민시장 주변 상권,m,남성,4,저녁,3017056000,괴정동,104965.7,26241.43,2022-11-15
19,2021,01월,2,한민시장 주변 상권,f,여성,5,야간,3017056000,괴정동,46518.69,6645.53,2022-11-15
20,2021,01월,2,한민시장 주변 상권,m,남성,5,야간,3017056000,괴정동,49790.32,7112.9,2022-11-15
21,2021,01월,2,한민시장 주변 상권,f,여성,1,출근,3017057000,가장동,33437.32,16718.66,2022-11-15
22,2021,01월,2,한민시장 주변 상권,m,남성,1,출근,3017057000,가장동,30906.24,15453.12,2022-11-15
23,2021,01월,2,한민시장 주변 상권,f,여성,2,주간,3017057000,가장동,200572.45,22285.83,2022-11-15
24,2021,01월,2,한민시장 주변 상권,m,남성,2,주간,3017057000,가장동,172514.8,19168.32,2022-11-15
25,2021,01월,2,한민시장 주변 상권,f,여성,3,퇴근,3017057000,가장동,58036.24,29018.12,2022-11-15
26,2021,01월,2,한민시장 주변 상권,m,남성,3,퇴근,3017057000,가장동,51602.11,25801.06,2022-11-15
27,2021,01월,2,한민시장 주변 상권,f,여성,4,저녁,3017057000,가장동,126084.91,31521.24,2022-11-15
28,2021,01월,2,한민시장 주변 상권,m,남성,4,저녁,3017057000,가장동,115572.75,28893.2,2022-11-15
29,2021,01월,2,한민시장 주변 상권,f,여성,5,야간,3017057000,가장동,75465.89,10780.84,2022-11-15
30,2021,01월,2,한민시장 주변 상권,m,남성,5,야간,3017057000,가장동,77561.29,11080.18,2022-11-15
31,2021,01월,2,한민시장 주변 상권,f,여성,1,출근,3017057500,내동,3819.76,1909.88,2022-11-15
32,2021,01월,2,한민시장 주변 상권,m,남성,1,출근,3017057500,내동,3685.43,1842.72,2022-11-15
33,2021,01월,2,한민시장 주변 상권,f,여성,2,주간,3017057500,내동,27855.97,3095.11,2022-11-15
34,2021,01월,2,한민시장 주변 상권,m,남성,2,주간,3017057500,내동,25440.19,2826.69,2022-11-15
35,2021,01월,2,한민시장 주변 상권,f,여성,3,퇴근,3017057500,내동,8358.87,4179.44,2022-11-15
36,2021,01월,2,한민시장 주변 상권,m,남성,3,퇴근,3017057500,내동,7687.97,3843.99,2022-11-15
37,2021,01월,2,한민시장 주변 상권,f,여성,4,저녁,3017057500,내동,17585.78,4396.46,2022-11-15
38,2021,01월,2,한민시장 주변 상권,m,남성,4,저녁,3017057500,내동,16383.9,4095.99,2022-11-15
39,2021,01월,2,한민시장 주변 상권,f,여성,5,야간,3017057500,내동,8018.3,1145.47,2022-11-15
40,2021,01월,2,한민시장 주변 상권,m,남성,5,야간,3017057500,내동,8391.07,1198.72,2022-11-15
41,2021,01월,3,롯데백화점 주변 상권,f,여성,1,출근,3017055000,용문동,8316.87,4158.44,2022-11-15
42,2021,01월,3,롯데백화점 주변 상권,m,남성,1,출근,3017055000,용문동,7782.41,3891.21,2022-11-15
43,2021,01월,3,롯데백화점 주변 상권,f,여성,2,주간,3017055000,용문동,65328.15,7258.68,2022-11-15
44,2021,01월,3,롯데백화점 주변 상권,m,남성,2,주간,3017055000,용문동,55192.67,6132.52,2022-11-15
45,2021,01월,3,롯데백화점 주변 상권,f,여성,3,퇴근,3017055000,용문동,16543.57,8271.79,2022-11-15
46,2021,01월,3,롯데백화점 주변 상권,m,남성,3,퇴근,3017055000,용문동,15308.36,7654.18,2022-11-15
47,2021,01월,3,롯데백화점 주변 상권,f,여성,4,저녁,3017055000,용문동,32154.08,8038.54,2022-11-15
48,2021,01월,3,롯데백화점 주변 상권,m,남성,4,저녁,3017055000,용문동,29458.37,7364.6,2022-11-15
49,2021,01월,3,롯데백화점 주변 상권,f,여성,5,야간,3017055000,용문동,18993.12,2713.3,2022-11-15
50,2021,01월,3,롯데백화점 주변 상권,m,남성,5,야간,3017055000,용문동,20675.74,2953.68,2022-11-15
51,2021,01월,3,롯데백화점 주변 상권,f,여성,1,출근,3017055500,탄방동,21815,10907.5,2022-11-15
