"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0세"
"서울특별시  (1100000000)","9,496,887","41,979","41,979"
"서울특별시 종로구 (1111000000)","143,850","459","459"
"서울특별시 종로구 청운효자동(1111051500)","11,838","46","46"
"서울특별시 종로구 사직동(1111053000)","9,321","35","35"
"서울특별시 종로구 삼청동(1111054000)","2,390","2","2"
"서울특별시 종로구 부암동(1111055000)","9,455","28","28"
"서울특별시 종로구 평창동(1111056000)","18,023","61","61"
"서울특별시 종로구 무악동(1111057000)","8,165","38","38"
"서울특별시 종로구 교남동(1111058000)","9,958","57","57"
"서울특별시 종로구 가회동(1111060000)","4,027","17","17"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,231","10","10"
"서울특별시 종로구 종로5.6가동(1111063000)","5,059","7","7"
"서울특별시 종로구 이화동(1111064000)","7,226","17","17"
"서울특별시 종로구 혜화동(1111065000)","16,343","43","43"
"서울특별시 종로구 창신제1동(1111067000)","4,867","7","7"
"서울특별시 종로구 창신제2동(1111068000)","7,852","13","13"
"서울특별시 종로구 창신제3동(1111069000)","6,510","33","33"
"서울특별시 종로구 숭인제1동(1111070000)","5,853","20","20"
"서울특별시 종로구 숭인제2동(1111071000)","9,732","25","25"
"서울특별시 중구 (1114000000)","122,054","550","550"
"서울특별시 중구 소공동(1114052000)","2,261","18","18"
"서울특별시 중구 회현동(1114054000)","4,735","15","15"
"서울특별시 중구 명동(1114055000)","2,877","6","6"
"서울특별시 중구 필동(1114057000)","4,027","14","14"
"서울특별시 중구 장충동(1114058000)","4,614","7","7"
"서울특별시 중구 광희동(1114059000)","5,259","16","16"
"서울특별시 중구 을지로동(1114060500)","1,727","7","7"
"서울특별시 중구 신당동(1114061500)","7,731","26","26"
"서울특별시 중구 다산동(1114062500)","13,736","44","44"
"서울특별시 중구 약수동(1114063500)","16,585","81","81"
"서울특별시 중구 청구동(1114064500)","13,442","68","68"
"서울특별시 중구 신당제5동(1114065000)","10,282","53","53"
"서울특별시 중구 동화동(1114066500)","10,162","32","32"
"서울특별시 중구 황학동(1114067000)","12,625","73","73"
"서울특별시 중구 중림동(1114068000)","11,991","90","90"
"서울특별시 용산구 (1117000000)","222,083","1,034","1,034"
"서울특별시 용산구 후암동(1117051000)","16,671","61","61"
"서울특별시 용산구 용산2가동(1117052000)","9,359","23","23"
"서울특별시 용산구 남영동(1117053000)","7,309","12","12"
"서울특별시 용산구 청파동(1117055500)","19,326","68","68"
"서울특별시 용산구 원효로제1동(1117056000)","16,135","92","92"
"서울특별시 용산구 원효로제2동(1117057000)","13,714","70","70"
"서울특별시 용산구 효창동(1117058000)","10,647","71","71"
"서울특별시 용산구 용문동(1117059000)","11,754","64","64"
"서울특별시 용산구 한강로동(1117062500)","21,594","155","155"
"서울특별시 용산구 이촌제1동(1117063000)","25,719","145","145"
"서울특별시 용산구 이촌제2동(1117064000)","8,176","56","56"
"서울특별시 용산구 이태원제1동(1117065000)","6,284","25","25"
"서울특별시 용산구 이태원제2동(1117066000)","8,887","40","40"
"서울특별시 용산구 한남동(1117068500)","20,283","100","100"
"서울특별시 용산구 서빙고동(1117069000)","12,984","33","33"
"서울특별시 용산구 보광동(1117070000)","13,241","19","19"
"서울특별시 성동구 (1120000000)","284,173","1,719","1,719"
"서울특별시 성동구 왕십리제2동(1120052000)","16,340","115","115"
"서울특별시 성동구 왕십리도선동(1120053500)","26,546","137","137"
"서울특별시 성동구 마장동(1120054000)","22,280","120","120"
"서울특별시 성동구 사근동(1120055000)","12,088","39","39"
"서울특별시 성동구 행당제1동(1120056000)","13,912","77","77"
"서울특별시 성동구 행당제2동(1120057000)","23,126","152","152"
"서울특별시 성동구 응봉동(1120058000)","15,219","92","92"
"서울특별시 성동구 금호1가동(1120059000)","15,087","106","106"
"서울특별시 성동구 금호2.3가동(1120061500)","22,534","188","188"
"서울특별시 성동구 금호4가동(1120062000)","14,241","118","118"
"서울특별시 성동구 옥수동(1120064500)","25,842","202","202"
"서울특별시 성동구 성수1가제1동(1120065000)","16,403","134","134"
"서울특별시 성동구 성수1가제2동(1120066000)","12,389","63","63"
"서울특별시 성동구 성수2가제1동(1120067000)","15,598","69","69"
"서울특별시 성동구 성수2가제3동(1120069000)","10,681","47","47"
"서울특별시 성동구 송정동(1120072000)","10,404","40","40"
"서울특별시 성동구 용답동(1120079000)","11,483","20","20"
"서울특별시 광진구 (1121500000)","340,062","1,280","1,280"
"서울특별시 광진구 화양동(1121571000)","23,739","35","35"
"서울특별시 광진구 군자동(1121573000)","19,516","63","63"
"서울특별시 광진구 중곡제1동(1121574000)","15,343","73","73"
"서울특별시 광진구 중곡제2동(1121575000)","21,260","73","73"
"서울특별시 광진구 중곡제3동(1121576000)","16,053","59","59"
"서울특별시 광진구 중곡제4동(1121577000)","28,305","98","98"
"서울특별시 광진구 능동(1121578000)","11,247","47","47"
"서울특별시 광진구 광장동(1121581000)","34,408","104","104"
"서울특별시 광진구 자양제1동(1121582000)","22,127","62","62"
"서울특별시 광진구 자양제2동(1121583000)","24,325","113","113"
"서울특별시 광진구 자양제3동(1121584000)","27,820","177","177"
