사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Apr-23,1호선,150,서울역,673,28,"7,682","8,982","13,316","56,520","42,256","111,551","71,698","222,335","61,867","157,112","63,776","78,084","75,338","69,965","89,059","80,142","87,807","79,108","70,323","70,863","98,818","77,215","112,363","78,640","164,944","91,680","218,834","95,631","116,611","66,395","85,113","47,757","84,951","41,453","57,870","27,728","24,520","13,801","2,424","2,423",0,179,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,151,시청,135,5,"2,141","4,360","3,966","24,036","7,878","72,065","10,276","192,373","13,496","90,577","16,330","43,643","22,222","43,380","23,395","40,340","28,701","40,882","37,083","32,890","49,243","28,982","60,780","28,676","91,883","28,945","161,064","26,404","64,188","13,718","55,734","9,372","49,170","8,862","31,113","6,738","9,870","4,147",345,923,0,14,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,152,종각,108,1,"3,692","4,916","4,437","26,787","6,811","103,796","10,852","258,237","13,182","152,159","18,712","64,113","26,948","58,596","33,031","51,315","41,857","50,012","51,139","42,263","64,587","37,018","76,257","38,175","143,949","44,570","215,927","48,323","96,328","25,150","81,922","12,627","86,063","9,120","62,384","6,706","27,518","4,158",966,770,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,153,종로3가,179,10,"3,860","2,908","4,032","12,157","5,702","25,659","9,806","69,800","15,716","67,985","21,194","58,637","30,989","66,553","42,508","67,838","48,795","63,387","57,995","55,406","67,545","46,100","74,537","43,088","85,757","41,802","100,131","42,578","61,070","22,055","50,190","12,215","52,624","9,263","40,622","7,229","17,246","4,551","1,283","1,747",1,19,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,154,종로5가,60,1,"1,966","3,701","3,316","14,990","6,316","41,593","10,398","97,462","14,131","63,212","23,243","59,940","35,917","63,759","45,951","60,543","52,646","55,563","59,599","52,702","63,979","44,395","68,332","40,379","86,869","36,745","98,442","34,555","53,844","19,556","38,585","10,461","35,571","7,922","21,337","5,717","6,901","3,403",269,962,0,0,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,155,동대문,749,13,"10,603","2,210","9,478","6,645","14,847","12,784","19,769","21,580","18,869","23,520","17,768","24,579","19,118","27,129","23,034","26,700","24,562","24,210","25,996","23,672","27,391","22,025","27,372","21,567","26,703","21,294","24,733","21,351","18,095","20,473","15,469","14,493","14,143","12,824","11,377","11,170","5,017","8,762",524,"2,480",1,186,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,156,신설동,409,5,"8,266","2,287","9,839","8,406","21,340","24,029","31,529","55,301","20,706","32,648","18,156","21,784","20,184","19,037","21,613","18,674","23,549","19,543","22,987","18,317","24,457","20,006","29,002","20,992","38,892","23,813","51,165","30,588","21,168","22,213","14,863","14,948","13,255","14,243","9,301","12,749","3,949","9,184",395,"1,967",0,0,1,1,0,0,2023-05-03 10:27
Apr-23,1호선,157,제기동,351,3,"5,279","2,074","8,745","9,018","23,486","19,588","32,788","38,732","24,589","33,656","26,031","38,243","33,342","43,728","37,868","48,155","40,511","48,882","44,214","45,695","49,007","39,596","47,531","34,651","43,890","28,214","39,467","27,897","21,417","19,058","13,407","12,640","9,465","11,888","6,040","10,116","2,284","6,812",156,"1,230",0,0,0,0,0,0,2023-05-03 10:27
Apr-23,1호선,158,청량리(서울시립대입구),973,30,"10,927","3,615","15,996","21,251","38,263","18,470","47,805","36,752","31,976","35,897","30,287","36,533","35,122","40,651","39,485","41,478","41,405","44,952","42,726","44,860","48,086","43,787","55,110","42,332","51,468","41,474","43,722","48,317","24,620","32,086","18,609","19,231","15,031","18,692","8,922","15,319","3,636","9,482",188,"3,289",0,1,0,0,0,0,2023-05-03 10:27
